gate,fold,signal_date,actual_date,wyckoff_phase,hypothesis,candidate,rebalance_every,gross_return,turnover,cost_return,net_return,n_positions,gross_exposure,is_rebalance_day,policy_changed
train_phase_regularized_m15_dd20_t25,2,2020-12-01,2020-12-02,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.002311807934893304,0.0,0.0,0.002311807934893304,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-02,2020-12-03,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.006459587730932968,0.0,0.0,-0.006459587730932968,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-03,2020-12-04,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.0018647830739306887,0.0,0.0,-0.0018647830739306887,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-04,2020-12-07,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.002292304087313804,0.0,0.0,0.002292304087313804,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-07,2020-12-08,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.006782024592393993,0.0,0.0,0.006782024592393993,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-08,2020-12-09,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,-0.00755463789682834,0.0,0.0,-0.00755463789682834,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-09,2020-12-10,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.006955888020456764,0.0,0.0,0.006955888020456764,23,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,2,2020-12-10,2020-12-11,transition,h0_forecast_abs,committee_h0_forecast_abs_top_25,10,0.012623550217157532,1.5894736842105275,0.002384210526315791,0.010239339690841742,23,0.9999999999999998,True,False
train_phase_regularized_m15_dd20_t25,3,2020-12-11,2020-12-14,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.004136764706345275,1.0,0.0015,0.002636764706345275,8,1.0,True,True
train_phase_regularized_m15_dd20_t25,3,2020-12-14,2020-12-15,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.003978378997999238,0.0,0.0,0.003978378997999238,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-15,2020-12-16,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.00944340432761235,0.0,0.0,0.00944340432761235,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-16,2020-12-17,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.01930990384425969,0.0,0.0,0.01930990384425969,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-17,2020-12-18,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.022346883430145657,0.0,0.0,0.022346883430145657,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-18,2020-12-21,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.013486061186995345,0.0,0.0,0.013486061186995345,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-21,2020-12-22,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.013389040017500539,0.0,0.0,-0.013389040017500539,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-22,2020-12-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.0024278401979245367,0.0,0.0,-0.0024278401979245367,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-23,2020-12-24,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.01711095892824234,0.0,0.0,0.01711095892824234,8,1.0,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-24,2020-12-25,markup,legacy_filter_shortlist,prediction_move_top_20,10,0.0039915020378040586,1.9285714285714288,0.002892857142857143,0.0010986448949469154,18,0.9999999999999998,True,True
train_phase_regularized_m15_dd20_t25,3,2020-12-25,2020-12-28,markup,legacy_filter_shortlist,prediction_move_top_20,10,0.01053078762846642,0.8999999999999997,0.0013499999999999994,0.00918078762846642,18,0.9999999999999997,True,False
train_phase_regularized_m15_dd20_t25,3,2020-12-28,2020-12-29,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.010874236800840898,1.1384615384615386,0.001707692307692308,-0.012581929108533205,9,0.9999999999999998,True,True
train_phase_regularized_m15_dd20_t25,3,2020-12-29,2020-12-30,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,0.012161341096673694,0.0,0.0,0.012161341096673694,9,0.9999999999999998,False,False
train_phase_regularized_m15_dd20_t25,3,2020-12-30,2020-12-31,markup,legacy_filter_shortlist,prediction_move_top_20,10,-0.0014009006367164836,1.4642857142857142,0.002196428571428571,-0.003597329208145055,19,0.9999999999999994,True,True
train_phase_regularized_m15_dd20_t25,3,2020-12-31,2021-01-04,markup,legacy_filter_shortlist,prediction_move_top_20,10,-0.005625379338328311,0.0,0.0,-0.005625379338328311,19,0.9999999999999994,False,False
train_phase_regularized_m15_dd20_t25,3,2021-01-04,2021-01-05,markup,legacy_filter_shortlist,prediction_move_top_20,10,-0.00267484336897421,0.0,0.0,-0.00267484336897421,19,0.9999999999999994,False,False
train_phase_regularized_m15_dd20_t25,3,2021-01-05,2021-01-06,markup,legacy_filter_shortlist,prediction_move_top_20,10,-0.00027125188699711993,0.0,0.0,-0.00027125188699711993,19,0.9999999999999994,False,False
train_phase_regularized_m15_dd20_t25,3,2021-01-06,2021-01-07,markup,legacy_filter_shortlist,prediction_move_top_20,10,0.0010726654990798053,0.0,0.0,0.0010726654990798053,19,0.9999999999999994,False,False
train_phase_regularized_m15_dd20_t25,3,2021-01-07,2021-01-08,markup,legacy_filter_shortlist,prediction_move_top_20,10,0.008877887231175805,0.0,0.0,0.008877887231175805,19,0.9999999999999994,False,False
train_phase_regularized_m15_dd20_t25,3,2021-01-08,2021-01-11,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,10,-0.003597631861339325,1.4166666666666665,0.0021249999999999997,-0.005722631861339325,9,1.0,True,True
train_phase_regularized_m15_dd20_t25,3,2021-01-11,2021-01-12,markup,legacy_filter_shortlist,prediction_move_top_20,10,-0.0036639363048986003,1.1666666666666665,0.0017499999999999996,-0.0054139363048986,19,1.0,True,True
train_phase_regularized_m15_dd20_t25,4,2021-01-12,2021-01-13,markup,legacy_filter_shortlist,prediction_move_top_20,20,-0.018928215341778267,0.9999999999999999,0.0014999999999999998,-0.02042821534177827,19,1.0,True,True
train_phase_regularized_m15_dd20_t25,4,2021-01-13,2021-01-14,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.0033022705174516847,0.0,0.0,0.0033022705174516847,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-14,2021-01-15,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.0011146898941660718,0.0,0.0,0.0011146898941660718,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-15,2021-01-18,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.0014028171426616796,0.0,0.0,0.0014028171426616796,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-18,2021-01-19,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.016874946015983945,0.0,0.0,0.016874946015983945,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-19,2021-01-20,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.012433125555010817,0.0,0.0,0.012433125555010817,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-20,2021-01-21,markup,legacy_filter_shortlist,prediction_move_top_20,20,0.008810182524030092,0.0,0.0,0.008810182524030092,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-21,2021-01-22,markup,legacy_filter_shortlist,prediction_move_top_20,20,-0.0010530214240134115,0.0,0.0,-0.0010530214240134115,19,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-22,2021-01-25,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,-0.005529195244889706,1.556547619047619,0.0023348214285714283,-0.007864016673461136,37,1.0000000000000004,True,True
train_phase_regularized_m15_dd20_t25,4,2021-01-25,2021-01-26,markup,legacy_filter_shortlist,prediction_move_top_20,20,-0.011802587652992878,1.1041666666666672,0.0016562500000000006,-0.01345883765299288,19,1.0000000000000004,True,True
train_phase_regularized_m15_dd20_t25,4,2021-01-26,2021-01-27,markup,legacy_filter_shortlist,prediction_move_top_20,20,4.7613928715386014e-05,0.0,0.0,4.7613928715386014e-05,19,1.0000000000000004,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-27,2021-01-28,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,0.029425969762572363,1.6000000000000012,0.002400000000000002,0.02702596976257236,30,0.9999999999999999,True,True
train_phase_regularized_m15_dd20_t25,4,2021-01-28,2021-01-29,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,-0.029317053519965434,0.0,0.0,-0.029317053519965434,30,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,4,2021-01-29,2021-02-01,distribution,h3_rank_committee,committee_h3_rank_committee_top_40,20,0.027408299621726757,1.0285714285714285,0.0015428571428571427,0.025865442478869613,35,1.0000000000000002,True,True
train_phase_regularized_m15_dd20_t25,4,2021-02-01,2021-02-02,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,0.053342743705595906,0.8888888888888891,0.0013333333333333335,0.052009410372262574,36,1.0000000000000002,True,True
train_phase_regularized_m15_dd20_t25,4,2021-02-02,2021-02-03,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,0.009596085052988992,0.0,0.0,0.009596085052988992,36,1.0000000000000002,False,False
train_phase_regularized_m15_dd20_t25,4,2021-02-03,2021-02-04,distribution,h3_rank_committee,committee_h3_rank_committee_top_40,20,-0.007870739941219129,1.257142857142856,0.001885714285714284,-0.009756454226933413,36,1.0,True,True
train_phase_regularized_m15_dd20_t25,4,2021-02-04,2021-02-05,distribution,h3_rank_committee,committee_h3_rank_committee_top_40,20,0.0067266550763244014,0.0,0.0,0.0067266550763244014,36,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-02-05,2021-02-08,distribution,h3_rank_committee,committee_h3_rank_committee_top_40,20,-0.01016438354605011,0.0,0.0,-0.01016438354605011,36,1.0,False,False
train_phase_regularized_m15_dd20_t25,4,2021-02-08,2021-02-09,transition,h0_forecast_abs,committee_h0_forecast_abs_top_40,20,-0.000100164170897395,1.4571428571428562,0.0021857142857142843,-0.0022858784566116793,37,0.9999999999999999,True,True
train_phase_regularized_m15_dd20_t25,4,2021-02-09,2021-02-17,distribution,h3_rank_committee,committee_h3_rank_committee_top_40,20,0.01051900544317085,1.205882352941176,0.0018088235294117638,0.008710181913759087,37,0.9999999999999991,True,True
train_phase_regularized_m15_dd20_t25,5,2021-02-17,2021-02-18,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,0.019356200077499296,0.9999999999999998,0.0014999999999999996,0.017856200077499294,13,0.9999999999999998,True,True
train_phase_regularized_m15_dd20_t25,5,2021-02-18,2021-02-19,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,0.00275783282883754,0.0,0.0,0.00275783282883754,13,0.9999999999999998,False,False
train_phase_regularized_m15_dd20_t25,5,2021-02-19,2021-02-22,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,0.004102056523641709,0.0,0.0,0.004102056523641709,13,0.9999999999999998,False,False
train_phase_regularized_m15_dd20_t25,5,2021-02-22,2021-02-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.9999999999999998,0.0014999999999999996,-0.0014999999999999996,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,5,2021-02-23,2021-02-24,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-02-24,2021-02-25,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-02-25,2021-02-26,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-02-26,2021-03-01,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-01,2021-03-02,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-02,2021-03-03,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-03,2021-03-04,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-04,2021-03-05,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-05,2021-03-08,markup,legacy_filter_shortlist,prediction_gate,1,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,5,2021-03-08,2021-03-09,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,5,2021-03-09,2021-03-10,markup,legacy_filter_shortlist,prediction_gate,1,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,5,2021-03-10,2021-03-11,markup,legacy_filter_shortlist,prediction_gate,1,0.0,0.0,0.0,0.0,0,0.0,True,False
train_phase_regularized_m15_dd20_t25,5,2021-03-11,2021-03-12,markup,legacy_filter_shortlist,prediction_gate,1,0.0,0.0,0.0,0.0,0,0.0,True,False
train_phase_regularized_m15_dd20_t25,5,2021-03-12,2021-03-15,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,5,2021-03-15,2021-03-16,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-16,2021-03-17,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,5,2021-03-17,2021-03-18,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,False
train_phase_regularized_m15_dd20_t25,6,2021-03-18,2021-03-19,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-03-19,2021-03-22,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-22,2021-03-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-23,2021-03-24,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-24,2021-03-25,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-25,2021-03-26,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-26,2021-03-29,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-29,2021-03-30,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-30,2021-03-31,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-03-31,2021-04-01,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-01,2021-04-02,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-02,2021-04-05,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-05,2021-04-06,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-06,2021-04-07,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,20,0.009570208960212752,1.0,0.0015,0.008070208960212752,6,1.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-04-07,2021-04-08,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,20,0.0009028268104885125,0.0,0.0,0.0009028268104885125,6,1.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-08,2021-04-09,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,1.0,0.0015,-0.0015,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-04-09,2021-04-12,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-04-12,2021-04-13,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,20,0.0,0.0,0.0,0.0,0,0.0,False,False
train_phase_regularized_m15_dd20_t25,6,2021-04-13,2021-04-14,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-04-14,2021-04-15,distribution,h3_rank_committee,committee_h3_rank_committee_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,6,2021-04-15,2021-04-16,transition,h0_forecast_abs,committee_h0_forecast_abs_top_05,20,0.0,0.0,0.0,0.0,0,0.0,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-16,2021-04-19,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.0020814347759975783,1.0,0.0015,-0.0035814347759975784,10,1.0,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-19,2021-04-20,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,-0.013169767981809048,0.9555555555555558,0.0014333333333333338,-0.014603101315142381,14,1.0,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-20,2021-04-22,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.032186182086459424,1.3333333333333337,0.002000000000000001,0.030186182086459422,9,1.0000000000000002,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-22,2021-04-23,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.01863642461183993,0.0,0.0,-0.01863642461183993,9,1.0000000000000002,False,False
train_phase_regularized_m15_dd20_t25,7,2021-04-23,2021-04-26,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,-0.006314130425120541,1.6428571428571428,0.0024642857142857144,-0.008778416139406255,15,0.9999999999999998,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-26,2021-04-27,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.0075150210410356195,1.5,0.00225,0.005265021041035619,10,0.9999999999999999,True,True
train_phase_regularized_m15_dd20_t25,7,2021-04-27,2021-04-28,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.0006273468025028695,0.0,0.0,0.0006273468025028695,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-04-28,2021-04-29,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.00292874898295848,0.0,0.0,-0.00292874898295848,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-04-29,2021-05-04,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.018857830972410703,0.0,0.0,0.018857830972410703,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-05-04,2021-05-05,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.00527112432755527,0.0,0.0,-0.00527112432755527,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-05-05,2021-05-06,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.01381062277359883,0.0,0.0,-0.01381062277359883,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-05-06,2021-05-07,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.032031283783726376,0.0,0.0,0.032031283783726376,10,0.9999999999999999,False,False
train_phase_regularized_m15_dd20_t25,7,2021-05-07,2021-05-10,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,-0.010599123275217896,2.0000000000000004,0.0030000000000000005,-0.013599123275217897,14,1.0000000000000002,True,True
train_phase_regularized_m15_dd20_t25,7,2021-05-10,2021-05-11,distribution,h3_rank_committee,committee_h3_rank_committee_top_15,20,0.007471073089012249,0.0,0.0,0.007471073089012249,14,1.0000000000000002,False,False
train_phase_regularized_m15_dd20_t25,7,2021-05-11,2021-05-12,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,-0.0038228010784627777,1.2222222222222219,0.0018333333333333329,-0.00565613441179611,10,1.0,True,True
train_phase_regularized_m15_dd20_t25,7,2021-05-12,2021-05-13,transition,h0_forecast_abs,committee_h0_forecast_abs_top_10,20,0.011177623023589421,0.0,0.0,0.011177623023589421,10,1.0,False,False
