features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"atr_gap,ma_5_gap",2,-0.026517834444564015,0.06255043520320114,0.013752947100520885,0.0004570945166051388,0.0002663535124156624,0.0005538617260754108,0.014859143644571304,0.01141431089490652,0.016224555671215057,0.028183327661827205,0.02033772937429604,0.0315313366256305
"volatility_5,volatility_ratio",2,-0.0014410064294971825,0.06044673692674751,0.028716613134874946,0.0004562174726743251,0.0002704919024836272,0.0005473411874845624,0.014749194495379925,0.011365094222128391,0.01615184359252453,0.02740861575584859,0.02038336857222021,0.031052932771854096
"atr_gap,ma_10_gap",2,-0.024919586498113988,0.05986314695762007,0.005979962103131897,0.00045663086348213255,0.00026635974063538015,0.0005547073087655008,0.014865756966173649,0.011453019455075264,0.01626162976026535,0.028139447327703234,0.020396029407856994,0.03177984698195359
"range_pct,rolling_max_20_gap",2,-0.016667855601165238,0.05549102320378285,-0.008047307072782228,0.0004546182753983885,0.0002633873955346644,0.0005498047103174031,0.014790989458560944,0.01133651565760374,0.016232799738645554,0.027843828412005677,0.020490881518344398,0.0322283132612938
"atr_gap,ma_cross_5_20",2,-0.004203986367146584,0.055035461543175845,-0.006975841146033224,0.00045421181130222976,0.0002668538654688746,0.0005574822425842285,0.014787388034164906,0.011461951769888401,0.01625131443142891,0.027502476185327397,0.020500764812459254,0.032194057389278885
"overnight_return,ma_50_gap",2,-0.013509014836958322,0.053689052691699435,-0.007517851667523834,0.0004553408070933074,0.0002723425277508795,0.0005538319237530231,0.014789700508117676,0.011588376015424728,0.016236430034041405,0.027758555322361662,0.020529974809323906,0.03221138602530117
"gap_open,ma_50_gap",2,-0.013509014836958322,0.053689052691699435,-0.007517851667523834,0.0004553408070933074,0.0002723425277508795,0.0005538319237530231,0.014789700508117676,0.011588376015424728,0.016236430034041405,0.027758555322361662,0.020529974809323906,0.03221138602530117
"volatility_5,volatility_10",2,-0.021779090770234655,0.052774186341836615,-0.013940290563200008,0.0004558078944683075,0.0002663717605173588,0.0005619889125227928,0.014811869710683823,0.011512024328112602,0.016273608431220055,0.02813412893447094,0.020549822601606142,0.032416718028252925
"return_10,atr_gap",2,-0.014740599366157126,0.051497865958393674,-0.0104730339982817,0.00045696485904045403,0.00026767366216517985,0.0005608279607258737,0.014802301302552223,0.011430413462221622,0.01629650592803955,0.027859980454377365,0.02057751204702072,0.032305866255774154
"volume_ratio_20,upper_shadow",2,-0.013766487880820355,0.05082231834158413,-0.007312529045358174,0.000455029949080199,0.00027745525585487485,0.0005569069180637598,0.014791350811719894,0.011838051490485668,0.016249509528279305,0.027764367667259652,0.020592167880386113,0.0322048216490657
