features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"close_position,atr_14",2,-0.019231575205255647,0.046710600814290903,-0.025148780131758475,0.0004787161306012422,0.00047871333663351834,0.0005713434657081962,0.015986070036888123,0.01604117453098297,0.01748749054968357,0.03155453810468316,0.027971124392934147,0.031240307312691586
"atr_gap,volatility_20",2,0.0008764043475707473,0.045707077486812464,-0.01161599960403703,0.0004789060039911419,0.00046115994337014854,0.0006072201649658382,0.016073480248451233,0.015681691467761993,0.017751270905137062,0.030857204005587845,0.028000569465802982,0.031958683795528485
"intraday_return,volatility_5",2,-0.043482338587569336,0.04481606462515797,-0.09034099907347137,0.00046952138654887676,0.0004874883161392063,0.0006100129685364664,0.016015129163861275,0.01615535281598568,0.017887378111481667,0.032160289119929075,0.028026713291183114,0.034445741499075665
"body_pct,volatility_5",2,-0.043482338587569336,0.04481606462515797,-0.09034099907347137,0.00046952138654887676,0.0004874883161392063,0.0006100129685364664,0.016015129163861275,0.01615535281598568,0.017887378111481667,0.032160289119929075,0.028026713291183114,0.034445741499075665
"intraday_return,volatility_20",2,-0.020005492113355006,0.043697751064115775,-0.04903986417242634,0.0004742298333439976,0.0004757627029903233,0.0006092159892432392,0.016141129657626152,0.01594812609255314,0.017855510115623474,0.03150212615728379,0.02805952650378459,0.03314096783869899
"body_pct,volatility_20",2,-0.020005492113355006,0.043697751064115775,-0.04903986417242634,0.0004742298333439976,0.0004757627029903233,0.0006092159892432392,0.016141129657626152,0.01594812609255314,0.017855510115623474,0.03150212615728379,0.02805952650378459,0.03314096783869899
"intraday_return,volatility_10",2,-0.032071560130110255,0.04094956643848502,-0.0520945011110423,0.00047388006350956857,0.00047867046669125557,0.000605215085670352,0.016101587563753128,0.016001518815755844,0.017708005383610725,0.03180860714055598,0.028140162891941146,0.033237469056621186
"body_pct,volatility_10",2,-0.032071560130110255,0.04094956643848502,-0.0520945011110423,0.00047388006350956857,0.00047867046669125557,0.000605215085670352,0.016101587563753128,0.016001518815755844,0.017708005383610725,0.03180860714055598,0.028140162891941146,0.033237469056621186
"volatility_10,volatility_20",2,-0.013246174764216523,0.0361730054827043,-0.002657653491753953,0.000482781179016456,0.00045803000102750957,0.000600201019551605,0.016184475272893906,0.01560233160853386,0.01763196475803852,0.03129336956772023,0.02828031527460553,0.03167567428317852
"range_pct,volatility_10",2,-0.015939130342591312,0.03423121430278897,0.022666628976042547,0.00048219828750006855,0.0004614253412000835,0.0005945347947999835,0.016116630285978317,0.015623368322849274,0.017488980665802956,0.03131140312762,0.028337290714262057,0.030875636782729993
"close_low_gap,atr_gap",2,-0.0013590533984528808,0.03254859484432426,-0.0093670203912406,0.00048278726171702147,0.0004735238035209477,0.0005998432752676308,0.01610253006219864,0.01578631065785885,0.017666460946202278,0.03086204287246801,0.028386661616968928,0.03188763468642719
