features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_ratio_20,volatility_ratio",2,-0.05070719674666746,0.048761173128359925,0.03887197724434244,0.0005155619001016021,0.0003369367332197726,0.0005332428263500333,0.01566150411963463,0.012888996861875057,0.01613640785217285,0.03102214098908007,0.021910147694870843,0.030622430512448767
"volume_change,volume_ratio_20",2,-0.0523897010472929,0.045597385908515586,0.02216843005848601,0.000511029502376914,0.0003328988386783749,0.0005276868469081819,0.015402212738990784,0.012493508867919445,0.015950636938214302,0.030816369759850207,0.021983020083280288,0.031154621022869807
"volume_change,volatility_ratio",2,-0.041282755417589634,0.045194272700371796,-0.011562862682907848,0.0005120269488543272,0.00033253684523515403,0.0005325011443346739,0.015580237843096256,0.01274553220719099,0.016166413202881813,0.030512241862015795,0.021992305101593966,0.032229331304552016
"overnight_return,volatility_10",2,-0.06101709608382744,0.04367591572878793,0.03024595010196729,0.0005004073609597981,0.0003391506616026163,0.0005560947465710342,0.015507461503148079,0.012882880866527557,0.016488347202539444,0.031080329674296085,0.022027277838787995,0.03089726374018937
"gap_open,volatility_10",2,-0.06101709608382744,0.04367591572878793,0.03024595010196729,0.0005004073609597981,0.0003391506616026163,0.0005560947465710342,0.015507461503148079,0.012882880866527557,0.016488347202539444,0.031080329674296085,0.022027277838787995,0.03089726374018937
"overnight_return,ma_cross_5_20",2,-0.03777048574372488,0.04064927876924063,0.026315036317292928,0.0005063263815827668,0.00033443630672991276,0.0005352279986254871,0.015586407855153084,0.012638182379305363,0.016106124967336655,0.030594461516011508,0.0220969912072178,0.03102250630035996
"gap_open,ma_cross_5_20",2,-0.03777048574372488,0.04064927876924063,0.026315036317292928,0.0005063263815827668,0.00033443630672991276,0.0005352279986254871,0.015586407855153084,0.012638182379305363,0.016106124967336655,0.030594461516011508,0.0220969912072178,0.03102250630035996
"volume_ratio_20,volatility_5",2,-0.035314580635573245,0.040402802757545375,0.021114757838905818,0.0005111502832733095,0.0003336152294650674,0.0005334169836714864,0.015591584146022797,0.012683084234595299,0.01606038212776184,0.030522059096256354,0.02210266835754738,0.03118819199735298
"lower_shadow,volatility_20",2,-0.04166922142842,0.037569072225624334,0.018018944376485102,0.0005173027748242021,0.00033715227618813515,0.0005371709703467786,0.015669705346226692,0.012566930614411831,0.016081642359495163,0.03075529467314482,0.022167938458733265,0.03128682748647406
"volatility_10,volatility_ratio",2,-0.020778532655419735,0.03634075171912754,0.02146709082770548,0.0005126718315295875,0.0003396294196136296,0.0005516910459846258,0.015634790062904358,0.012910744175314903,0.016483431681990623,0.030138496868312367,0.022196230705594646,0.03117696634144522
"price_acceleration,obv_change",2,-0.05173038553182807,0.03600849303256326,0.03214521899177325,0.0005242428742349148,0.0003339138929732144,0.000529566197656095,0.015622217208147049,0.012433623895049095,0.015955833718180656,0.031052350648678843,0.022203883712063558,0.030836751271272077
"volume_ratio_5,volatility_ratio",2,-0.03776745871504472,0.03559783260580551,0.03708736433336668,0.000514780986122787,0.0003419289132580161,0.0005383044481277466,0.015648668631911278,0.01297601219266653,0.01623784564435482,0.030640095088165255,0.022213342567556547,0.030679289935505945
price_acceleration,1,-0.043477358133630295,0.03551670373319282,0.030821130459272816,0.0005276713636703789,0.00033357847132720053,0.0005291352863423526,0.015646573156118393,0.012420407496392727,0.015946419909596443,0.03080867992830463,0.022215211231377922,0.030878937960369512
volume_ratio_20,1,-0.032747191019763866,0.034277266842098864,0.04945686451156828,0.0005227974033914506,0.0003333762870170176,0.000524316041264683,0.01557553093880415,0.012494472786784172,0.015928879380226135,0.03044637000712101,0.022243759525008504,0.030285186183755284
"volume_ratio_20,price_acceleration",2,-0.04035663115600929,0.03425777940052499,0.06270822115561459,0.000515683030243963,0.0003379986446816474,0.0005273808492347598,0.015567289665341377,0.012625272385776043,0.015955613926053047,0.03071654043160379,0.02224420838465449,0.029862985666841268
"volume_ratio_20,obv_change",2,-0.03892012723575511,0.03258208598072898,0.051063373743712615,0.000518940796609968,0.00033337215427309275,0.0005241679027676582,0.015583903528749943,0.012510678730905056,0.015939252451062202,0.0306283540412551,0.0222828050958924,0.03023400130914524
"lower_shadow,price_acceleration",2,-0.03490795954390413,0.03213814703294582,0.014920145346282276,0.0005174786783754826,0.00033466413151472807,0.0005316855967976153,0.015682773664593697,0.012512761168181896,0.015967601910233498,0.03055566834518686,0.0222930304647889,0.0313855580985546
"intraday_return,momentum_20",2,-0.021463360477010474,0.030813522096327706,-0.033534688846193594,0.0005158299463801086,0.00033191742841154337,0.0005403664545156062,0.015748405829072,0.012565257959067822,0.016097933053970337,0.030158716416917742,0.022323540918296206,0.032929374070954504
"body_pct,momentum_20",2,-0.021463360477010474,0.030813522096327706,-0.033534688846193594,0.0005158299463801086,0.00033191742841154337,0.0005403664545156062,0.015748405829072,0.012565257959067822,0.016097933053970337,0.030158716416917742,0.022323540918296206,0.032929374070954504
"volume_ratio_20,range_pct",2,-0.05381363604181422,0.03020790764981851,0.10054633265116009,0.0005076373345218599,0.0003425558970775455,0.0005128197371959686,0.015635481104254723,0.01273112278431654,0.01577324979007244,0.031067428854294137,0.022337490203790368,0.028657428329461252
"intraday_return,vwap_gap",2,-0.04177993430809668,0.02986219803301593,-0.04358215618179884,0.0005152216763235629,0.0003292213659733534,0.0005417278734967113,0.015552092343568802,0.012345108203589916,0.016162777319550514,0.030186862114351242,0.02234545302926564,0.033245914499275386
"body_pct,vwap_gap",2,-0.04177993430809668,0.02986219803301593,-0.04358215618179884,0.0005152216763235629,0.0003292213659733534,0.0005417278734967113,0.015552092343568802,0.012345108203589916,0.016162777319550514,0.030186862114351242,0.02234545302926564,0.033245914499275386
"volume_change,rolling_max_20_gap",2,-0.02709988154836296,0.02930175305181648,0.015791932965598776,0.0005081850686110556,0.00034442616743035614,0.000542500289157033,0.015333120711147785,0.012678679078817368,0.01614837348461151,0.030075826187385246,0.022358361913939022,0.03135778213618323
"price_acceleration,ma_cross_5_20",2,-0.0360231757419176,0.02902907885385375,0.0194457565734516,0.0005206736386753619,0.0003364240110386163,0.0005326239624992013,0.015564711764454842,0.012437339872121811,0.015995368361473083,0.03058859511511401,0.022364642494358128,0.03124136792612262
"volatility_ratio,rolling_min_20_gap",2,-0.037329933224337086,0.02898636460376036,0.014941066609294062,0.0005134012899361551,0.00034461135510355234,0.0005467113223858178,0.015645356848835945,0.013040210120379925,0.0162762850522995,0.030627177143469454,0.022365626343525954,0.03138489152770489
"volume_ratio_20,lower_shadow",2,-0.025593236725698354,0.028797061710834515,0.029741476839388437,0.0005118372500874102,0.0003357522946316749,0.0005254211137071252,0.015583612956106663,0.012638991698622704,0.01599247194826603,0.030235464626457546,0.022369986609555793,0.030913336726371185
"momentum_20,price_acceleration",2,-0.03831543855076536,0.028306378528185516,0.00829878118066596,0.0005186137859709561,0.0003379191621206701,0.0005369065911509097,0.015619534067809582,0.012559104710817337,0.01612846925854683,0.03065627419855446,0.02238128865137697,0.03159652090398594
"momentum_5,momentum_20",2,-0.038315026119322804,0.02830532826062937,0.008298801276887757,0.0005186137859709561,0.0003379190166015178,0.000536906358320266,0.015619531273841858,0.01255909912288189,0.01612846367061138,0.030656262021511796,0.022381312842480846,0.03159652026370167
"momentum_5,price_acceleration",2,-0.038315146773262976,0.02830512849246214,0.008298900296452971,0.0005186137859709561,0.0003379190166015178,0.0005369064747355878,0.015619531273841858,0.01255909912288189,0.01612846367061138,0.030656265583820643,0.022381317443796442,0.03159651710884645
"range_pct,obv_change",2,-0.047989477662254254,0.026935531837012583,0.029448547368652322,0.0005114530213177204,0.0003354788350407034,0.000519317458383739,0.015625974163413048,0.01254185289144516,0.01575683429837227,0.03067790000932295,0.022412863743375054,0.030922669731080533
