variant,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
plain_global_weighted_mild_tail35_riskaux_w10,calibrated_train_p90,1,0.307071508897268,0.9878603945371776,-0.001445966432014556,0.03024248232149999,0.0250966468,0.0412303363836,0.0718160634,97.0,19.0,2.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,full_coverage,1,1.0,1.0,-0.001482675220472185,0.04996307127000001,0.03693001579999999,0.06673586623200001,0.0804638762,364.0,157.0,47.0,1.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q100,1,0.9998180855989945,1.0,-0.0014655205961224826,0.04996349466,0.03693001579999999,0.06673586623200001,0.0804638762,364.0,157.0,47.0,1.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q20,1,0.15317192564662302,0.9180576631259484,-0.0020652124675004657,0.02682906365199999,0.020233495993000002,0.034423211220000006,0.06927730412000001,19.0,4.0,0.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q30,1,0.2289971555202752,0.9575113808801214,-0.004055669475108381,0.028866643703999995,0.022887119150000003,0.040888559991999994,0.07218245216000001,64.0,12.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q40,1,0.307071508897268,0.9878603945371776,-0.001445966432014556,0.03024248232149999,0.0250966468,0.0412303363836,0.0718160634,97.0,19.0,2.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q50,1,0.3944731097439968,1.0,-0.007945568403208148,0.03207023872,0.02682599045500001,0.04329825621250001,0.07246561874,118.0,30.0,2.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q60,1,0.49072236554872,1.0,-0.005462672283451653,0.03357292026,0.028934269830000005,0.04785049795800002,0.0725819049,173.0,51.0,2.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q70,1,0.5913044916319375,1.0,-0.006603540549717124,0.035809388180000006,0.03044776278000001,0.05033579536225001,0.07275633413999999,208.0,64.0,5.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q80,1,0.6982370840775286,1.0,-0.0016962090033736388,0.0380037714,0.031794866850000006,0.054512926823149996,0.07288168503999999,241.0,85.0,12.0,0.0
plain_global_weighted_mild_tail35_riskaux_w10,risk_q90,1,0.82873586028974,1.0,-0.008407245589530987,0.041525745905,0.03366135278,0.060798025616400006,0.07602427177,292.0,113.0,20.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,calibrated_train_p90,1,0.32332804127803133,0.9863429438543247,-0.002924271857282612,0.0281204,0.024061990919999998,0.038878296392,0.0722319558,71.0,13.0,3.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,full_coverage,1,1.0,1.0,-0.004998620491512451,0.050098173710000006,0.036966044700000006,0.06488005855199999,0.0802417855,365.0,170.0,36.0,1.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q100,1,0.9999834623271813,1.0,-0.004983611370344088,0.050095321760000006,0.036966044700000006,0.06488005855199999,0.0802417855,365.0,170.0,36.0,1.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q20,1,0.08599589865714097,0.8846737481031867,-0.001664472970135611,0.02095220575,0.017681716025000002,0.027903492575,0.05592499910600005,5.0,2.0,0.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q30,1,0.15093933981610108,0.9317147192716236,-0.0033796657861124846,0.024213444255999975,0.020376643520000005,0.03552533453800003,0.058489385212000006,19.0,1.0,0.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q40,1,0.23118012833234108,0.9666160849772383,-0.0020890406861462374,0.02644502832,0.022388809815400007,0.03662605382300002,0.0712318248,42.0,4.0,1.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q50,1,0.32332804127803133,0.9863429438543247,-0.002924271857282612,0.0281204,0.024061990919999998,0.038878296392,0.0722319558,71.0,13.0,3.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q60,1,0.42468743798372693,0.992412746585736,-0.005366695131976185,0.030211860290000003,0.025737748879999998,0.04046653759480002,0.07275051364,91.0,18.0,4.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q70,1,0.5365813322749222,0.9984825493171472,-0.00924263557783167,0.032363316,0.027996146775,0.043299602763999995,0.07336113173999999,132.0,38.0,5.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q80,1,0.663640272540848,1.0,-0.008109053932506383,0.03504931762000002,0.030254713610999996,0.04926170643900001,0.07406609444,193.0,58.0,8.0,0.0
plain_global_weighted_mild_tail35_riskaux_w20,risk_q90,1,0.8055831183435866,1.0,-0.007013484880702414,0.038719635136000005,0.03258218762000001,0.055120766820439995,0.07622562096,261.0,86.0,10.0,0.0
