features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_zscore_20,lower_shadow",2,-0.027374032498614476,0.0572984026358736,0.01722247572539637,0.00047223331057466567,0.0003250418812967837,0.0007505449466407299,0.014850953593850136,0.01295829564332962,0.02031080424785614,0.028606798325199634,0.022868379345163704,0.03832546187331899
"ma_10_gap,rolling_max_20_gap",2,-0.01692762589182717,0.041004845364711495,0.007563887432885719,0.0004770685627590865,0.00034254053025506437,0.0007343612378463149,0.014848525635898113,0.013242913410067558,0.020147517323493958,0.028315922521869652,0.0232636340573663,0.0387021186936181
"ma_5_gap,rolling_max_20_gap",2,-0.020518122265484218,0.03884782221989602,0.009318404338938602,0.0004769584338646382,0.00034280086401849985,0.0007345886551775038,0.014843669719994068,0.013249042443931103,0.020173529163002968,0.028415898384992033,0.02331595986615867,0.03863369764294475
"volume_ratio_5,lower_shadow",2,-0.013710837689536959,0.03369771539861832,0.0040815962167924935,0.0004857881576754153,0.00032634197850711644,0.000743794662412256,0.015012682415544987,0.013003382831811905,0.02018009126186371,0.02885095786768943,0.02344089292746503,0.03883791791158728
"close_return,price_acceleration",2,-0.010705626971925009,0.033646358987278635,0.022722733181281485,0.00047549145529046655,0.0003505644272081554,0.0007479394553229213,0.014796147122979164,0.013433403335511684,0.02037809044122696,0.028125716559588905,0.023442138748941948,0.03811096784775145
"volume_ratio_20,lower_shadow",2,-0.022369561447312947,0.033455186674357984,0.001377050774079236,0.0004732534580398351,0.00032615900272503495,0.0007526715053245425,0.014867625199258327,0.012934776023030281,0.020289821550250053,0.02846745093120262,0.023446776272612626,0.038943387308972885
"adjust_return,rolling_max_20_gap",2,-0.01659433993502546,0.03329324567238856,0.0017981420289242545,0.000477147608762607,0.0003424646274652332,0.0007374818669632077,0.01484523992985487,0.013222739100456238,0.02020406164228916,0.02830664231441915,0.023450704693095764,0.03892696597613394
"volume_ratio_5,close_low_gap",2,-0.022206072753060857,0.03072833520727769,0.03545287959000776,0.0004859374021179974,0.00033843916025944054,0.000739653711207211,0.015004456974565983,0.013064094819128513,0.020133351907134056,0.029092738521285355,0.023512925172690304,0.03761452920443843
"adjust_return,ma_50_gap",2,0.005222979328551758,0.03022159500441013,0.0017710194129894052,0.0004732011875603348,0.00034393370151519775,0.0007408979581668973,0.014760770834982395,0.0132638830691576,0.020154476165771484,0.02771124082210008,0.023525217850692573,0.038928023679181925
"adjust_return,ma_5_gap",2,0.0009905783258643552,0.029655038387199517,-0.0008845387600699972,0.0004900802159681916,0.0003395139647182077,0.0007378901937045157,0.015002187341451645,0.013216524384915829,0.02009054832160473,0.02843254472827539,0.023538961575832226,0.03903158271568827
