features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"gap_open,upper_shadow",2,-0.03259506336786755,0.061580856331581946,-0.07868700338651435,0.000265915208728984,0.00012196803436381742,0.0007025008089840412,0.01090769749134779,0.006914082914590836,0.018208671361207962,0.020452614547684794,0.011412678024498746,0.03523722415557131
"gap_open,upper_shadow,vwap_gap",3,-0.032595132428288265,0.06158084520370277,-0.08239220869616681,0.000265915208728984,0.00012196801253594458,0.0007101516239345074,0.01090769749134779,0.006914083380252123,0.01832973025739193,0.020452615915564826,0.011412678159831558,0.035152066266164184
"lower_shadow,vwap_gap",2,-0.004092673979204653,0.056478401537152334,-0.0556717341053492,0.00027217582101002336,0.00011963189899688587,0.0006804746226407588,0.010920360684394836,0.007018434349447489,0.017967166379094124,0.019921798224095257,0.011474732037459037,0.03428428480401635
lower_shadow,1,-0.004092534625339761,0.05647832400096253,-0.06975891552965452,0.0002721757919061929,0.00011963189899688587,0.0006777903181500733,0.010920360684394836,0.007018435280770063,0.017944946885108948,0.019921795459231364,0.011474732980423143,0.03494557233061642
"lower_shadow,vwap_gap,obv_change",3,-0.04254501608371131,0.05458035832716435,-0.06897213322629536,0.00026825020904652774,0.00012213287118356675,0.0006794593064114451,0.010910959914326668,0.007059479132294655,0.018046531826257706,0.02065549911931157,0.01149781527929008,0.03471623221412301
"lower_shadow,obv_change",2,-0.04254509100055115,0.05458008455740759,-0.06957991116528883,0.00026825020904652774,0.00012213287118356675,0.0006778593524359167,0.010910959914326668,0.007059479597955942,0.01802501268684864,0.02065550060360692,0.011497818608768286,0.034939724835567176
"upper_shadow,lower_shadow,atr_gap",3,-0.06349670549202635,0.052526516553693114,-0.09584584944809516,0.00026104337302967906,0.00012348849850241095,0.0006959697348065674,0.010892192833125591,0.0072123464196920395,0.01820107363164425,0.0210821187356487,0.011522793280892075,0.03579774829559028
"volume_ratio_20,upper_shadow,volatility_20",3,-0.07009212012484456,0.05119079678279215,-0.051445990310363454,0.0002639701124280691,0.00012617016909644008,0.0006911171949468553,0.010876220650970936,0.007191264070570469,0.01799018308520317,0.02122830708976835,0.01153903777012602,0.03434734814800322
"upper_shadow,lower_shadow,volatility_20",3,-0.052657959493396245,0.04877006045977239,-0.08008042821725825,0.00026175699895247817,0.00012679072096943855,0.0006956391152925789,0.010881197638809681,0.007415276952087879,0.018192658200860023,0.020882451150100692,0.011568477796390655,0.035282742849085474
"gap_open,lower_shadow,vwap_gap",3,-0.015476762394432964,0.04808050073147074,-0.11283744385829264,0.0002666783984750509,0.00012055534170940518,0.0006986816297285259,0.010941118001937866,0.0070410375483334064,0.018258007243275642,0.020113552291877567,0.011576863945811056,0.03614081407431513
