features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_zscore_20,lower_shadow",2,-0.015482038288640254,0.06793336780390502,-0.0034241553193437024,0.0007942912634462118,0.0005790821160189807,0.0006169722764752805,0.019991792738437653,0.016642296686768532,0.01808098331093788,0.042693341709673406,0.02963567359256558,0.033582622557878486
"lower_shadow,price_acceleration",2,-0.010622389364013385,0.06744181847358754,0.015138342033068741,0.000797891232650727,0.0005897977389395237,0.0006093308911658823,0.020069807767868042,0.016723696142435074,0.018144456669688225,0.042511077434755865,0.02965130272787065,0.03296137247234582
"volume_zscore_20,volatility_ratio",2,-0.01362232298244126,0.06420092637769415,0.006156778776358118,0.0008002546383067966,0.0005892294575460255,0.0006185732781887054,0.020137319341301918,0.016885362565517426,0.018102679401636124,0.04263726740609855,0.029754349030554315,0.03326196763664484
volume_ratio_5,1,-0.01417644583416755,0.06367951573654684,-0.0025482883663243694,0.000808961980510503,0.0005887371953576803,0.0005930167390033603,0.020113922655582428,0.01658777892589569,0.017611203715205193,0.042354246648028504,0.02977092762594113,0.03355330902268179
"volume_ratio_5,vwap_gap",2,-0.014176550089506357,0.0636794798552297,-0.026413529596897023,0.0008089619223028421,0.0005887371953576803,0.0005678808083757758,0.020113922655582428,0.01658777892589569,0.017143603414297104,0.04235425100196154,0.029770928766811287,0.03308253834256902
"volume_change,volatility_ratio",2,-0.014639802347197861,0.06352889969738995,0.01640609543057303,0.0008050563046708703,0.0005900348769500852,0.0006076863501220942,0.020148297771811485,0.01668354496359825,0.01799100451171398,0.04268006691709162,0.02977571656228975,0.032918943272670725
"volume_ratio_5,obv_change",2,-0.0153582439344917,0.05913664112436301,-0.0027912724877221518,0.0008066154550760984,0.0005892820772714913,0.0005933329812251031,0.020112555474042892,0.01659259758889675,0.017613423988223076,0.04240360114490614,0.02991537132184023,0.03356144122080877
"volume_ratio_5,price_acceleration",2,-0.01055138486080498,0.058868450430142216,0.014628145311455842,0.000801223679445684,0.0005881771794520319,0.0005979872075840831,0.02016625739634037,0.016688164323568344,0.017612453550100327,0.04250809068325909,0.029923898621927958,0.03297844774788245
"volume_ratio_5,volume_ratio_20",2,-0.007811194349427009,0.054593335204102145,-0.018758140562265657,0.000808085547760129,0.0005902517004869878,0.0005942554562352598,0.02011541835963726,0.016567958518862724,0.017614591866731644,0.04237084072083235,0.03005982873146424,0.03409582072636112
"volume_ratio_5,lower_shadow",2,-0.025171419025302955,0.051017645705344505,0.004506510625736482,0.0007958657224662602,0.0005800000508315861,0.0006109075620770454,0.019998198375105858,0.0164151880890131,0.018055863678455353,0.04281342099420727,0.030173520138487224,0.033317198848817495
