features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"price_acceleration,signed_volume",2,-0.0406551943314446,0.13530024195049828,-0.02516609198494124,0.0002989234053529799,8.626548515167087e-05,0.00011574433301575482,0.01132852490991354,0.005268772132694721,0.006774180103093386,0.021835622657090437,0.007830663764616476,0.011887555217253976
"volatility_10,signed_volume",2,-0.03534885213634831,0.1234088601680432,-0.040451598993539006,0.00029947562143206596,8.683800842845812e-05,0.00011327357788104564,0.01130632497370243,0.005231615621596575,0.006660764571279287,0.021738423162605616,0.00793835133081302,0.0120648019190412
"volume_ma_5,signed_volume",2,-0.03587841894838539,0.12116481052760053,-0.030514780802815666,0.00030045080347917974,8.75733676366508e-05,0.00011485980940051377,0.01130912359803915,0.005211910232901573,0.006692447699606419,0.02179766329354607,0.007958673295797783,0.011949577199993651
"volume_ma_20,signed_volume",2,-0.042712741852281244,0.11558286232840098,-0.018658329517371675,0.00029879610519856215,8.714412251720205e-05,0.00011562112922547385,0.011285780929028988,0.0052173445001244545,0.0067302752286195755,0.021882396773435175,0.008009223049157303,0.011812092922627923
"volume_change,signed_volume",2,-0.03746634428912854,0.11349840510743037,-0.025913838776603138,0.00029898746288381517,8.647750655654818e-05,0.00011455421918071806,0.011277851648628712,0.005222421605139971,0.006705602165311575,0.021831085719168187,0.008028099755756558,0.011896225891541686
"close_low_gap,signed_volume",2,-0.04334277826198063,0.1101152120959078,-0.05296202819570639,0.00030057161347940564,8.498585521010682e-05,0.00011679542512865737,0.011377059854567051,0.005169882904738188,0.006721324287354946,0.02196059589623474,0.008058737727697007,0.012209869551588782
signed_volume,1,-0.02835528111355634,0.10946418845824357,-0.03172194162137365,0.000302742759231478,8.66478803800419e-05,0.00011487200390547514,0.011308758519589901,0.005248270928859711,0.006704138591885567,0.021645134501159197,0.008064633354661059,0.01196357511798851
"vwap_gap,signed_volume",2,-0.02835529881232346,0.1094640782253945,-0.022355439540920896,0.000302742759231478,8.66478803800419e-05,0.00011225182242924348,0.011308758519589901,0.005248270928859711,0.006588198244571686,0.02164513487368823,0.008064634352922442,0.011782465036958456
"momentum_5,signed_volume",2,-0.0454918603706036,0.10934697108861646,-0.03350153858158578,0.00029742735205218196,8.424588304478675e-05,0.00011753042781492695,0.011381345801055431,0.005202165804803371,0.006801544222980738,0.021999970031902197,0.008065694867400455,0.011984210854279805
"ma_cross_5_20,signed_volume",2,-0.030316159701591072,0.10497279344013388,-0.03930036518479074,0.00029741268372163177,8.537599933333695e-05,0.00011620025179581717,0.011297986842691898,0.005210057832300663,0.006761567201465368,0.021622241777367893,0.008105307130608707,0.012051452515879644
