features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volume_zscore_20,upper_shadow,volatility_20",3,-0.019392614573772837,0.058916414837789755,-0.03613384044028756,0.0005798451602458954,0.0003847114567179233,0.0006752409390173852,0.017257321625947952,0.01395370066165924,0.019306235015392303,0.033343568583950406,0.023252791934646667,0.036490175547078244
"volume_ratio_20,upper_shadow,volatility_20",3,-0.0172721349390621,0.058606092065752624,-0.026665660795205826,0.0005798391066491604,0.0003822494763880968,0.0006691248854622245,0.017254361882805824,0.013893031515181065,0.019232258200645447,0.03327420928399079,0.02326045955414884,0.036156728724017734
"volume_zscore_20,intraday_return,volatility_20",3,-0.013581534326023714,0.05214419862707842,0.01212647683709911,0.0005807431880384684,0.0003808527544606477,0.0006658501806668937,0.01724572852253914,0.013917314819991589,0.01914069801568985,0.03315349250333384,0.023420123441610492,0.034790561674162744
"volume_ratio_20,upper_shadow,lower_shadow",3,-0.02031981446530251,0.04841743035452439,-0.0505371568794144,0.0005818069912493229,0.0003721762041095644,0.0006664983229711652,0.017258021980524063,0.013651784509420395,0.01923159509897232,0.03346329021733255,0.023512206407031045,0.03699742617900483
"volume_ratio_20,intraday_return,volatility_20",3,-0.024885642549210996,0.04693099552056568,0.022535634975444085,0.000581040105316788,0.00037882139440625906,0.0006587164243683219,0.017249567434191704,0.013859706930816174,0.019056260585784912,0.033523241413058714,0.023548934026621282,0.034423975821118794
"volume_zscore_20,upper_shadow,lower_shadow",3,-0.01789769840974409,0.042246557670690965,-0.051915982499317614,0.0005815867916680872,0.0003739106759894639,0.0006715761264786124,0.017268139868974686,0.013732901774346828,0.019282585009932518,0.033383852406404915,0.02366467959946022,0.037045985145960005
"intraday_return,lower_shadow,volatility_20",3,-0.02114647399559555,0.04082832490727106,0.01491252018943623,0.0005817082710564137,0.0003752105694729835,0.0006604038062505424,0.017204144969582558,0.01372461672872305,0.0190043356269598,0.03340093601145782,0.023699722046148966,0.0346924438374117
"intraday_return,upper_shadow,volatility_20",3,-0.026381890868304003,0.03985476835751278,0.002442850208845715,0.0005754018784500659,0.0003801655548159033,0.0006727463332936168,0.017233531922101974,0.013912494294345379,0.01925736665725708,0.033572182574425825,0.02372377719730139,0.03513159602880478
"volume_zscore_20,gap_open,upper_shadow",3,-0.022425322269699732,0.037969592506489236,-0.057372044198649386,0.0005784313543699682,0.0003795661614276469,0.0006500763120129704,0.017332816496491432,0.013799028471112251,0.018991613760590553,0.03353234427049756,0.0237703571212478,0.037238134694052856
"upper_shadow,lower_shadow",2,-0.01705363978262664,0.035738779036679325,-0.05514179154742438,0.0005868677981197834,0.0003701563982758671,0.0006617237813770771,0.017263831570744514,0.013537265360355377,0.019122768193483353,0.033352872141404075,0.02382547724264441,0.037159590487135574
