features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"gap_open,volatility_20",2,-0.0013391399623927658,0.056781944438428655,-0.08705390474391606,0.00025121017824858427,0.0002384363760938868,0.00043439504224807024,0.011014292016625404,0.01139410026371479,0.015264015644788742,0.020006657543126496,0.019936175615293907,0.028651501174317664
"volume_zscore_20,gap_open",2,-0.01902106517538482,0.05506784546281451,-0.08634852170487006,0.0002503529249224812,0.00023753884306643158,0.0004316848935559392,0.011016442440450191,0.011456611566245556,0.015210709534585476,0.020381984766572714,0.01997240539058112,0.028632909379666664
"volume_zscore_20,rolling_max_20_gap",2,-0.02668268419394315,0.04802106541440199,-0.0465507460055381,0.0002517794200684875,0.00022985326359048486,0.00044133519986644387,0.011034584604203701,0.011288986541330814,0.015408432111144066,0.020535228902008387,0.020121348515385766,0.027583958621835332
"volatility_20,rolling_max_20_gap",2,-0.0064985801129708864,0.04331915296288502,-0.034368783443243345,0.00025266926968470216,0.0002328016416868195,0.0004429647815413773,0.011036152951419353,0.011257546953856945,0.015464243479073048,0.020109742649947294,0.020220729726133868,0.027262878394685684
"gap_open,momentum_20",2,-0.008684871928799742,0.04304736820847366,-0.09624778830929648,0.0002514472871553153,0.00024222185311373323,0.00043664374970830977,0.011009194888174534,0.011466672644019127,0.015343620441854,0.02015342454542406,0.0202264742605621,0.028893824544502417
"momentum_5,rolling_max_20_gap",2,-0.006106126385055477,0.035367302048130767,-0.09553814962359986,0.0002520623675081879,0.00023705042258370668,0.00043522552005015314,0.011023975908756256,0.011341745033860207,0.015392124652862549,0.020123666175641125,0.020388802734669302,0.028875120583688834
"volume_zscore_20,momentum_5",2,-0.015070413248604586,0.03471150282546487,-0.05887561415407694,0.00025199109222739935,0.00023334762954618782,0.00043578632175922394,0.011021547019481659,0.011335711926221848,0.015325882472097874,0.020302965666633102,0.020402663928689446,0.027908805414335797
"volume_ratio_20,gap_open",2,-0.016283983059257157,0.03441912443850281,-0.09377154545341204,0.0002505219599697739,0.00023652773234061897,0.00043139621266163886,0.011014269664883614,0.01139167882502079,0.015231035649776459,0.020327238924801354,0.020408843737095596,0.02882855816278606
"intraday_return,ma_20_gap",2,-0.00854076374205781,0.034175562760490275,-0.10575649984369262,0.00025092181749641895,0.0002383144455961883,0.0004450190463103354,0.011034022085368633,0.011413860134780407,0.015463389456272125,0.020172362658195206,0.020413991739042105,0.02914444584166631
"gap_open,ma_20_gap",2,-0.006144248314315703,0.03384024672057173,-0.110579988888871,0.0002506950404495001,0.00023851898731663823,0.0004420947516337037,0.011032209731638432,0.011438436806201935,0.015460674650967121,0.020124428672716025,0.020421079092193397,0.029271578637417403
