Date,code,high,low,open,close,adjust,volume_match,value_match
2018-04-26,FRT,33150,30940,33150,33150,33150,948210,31433161500
2018-04-27,FRT,35470,33920,35470,35470,35470,2520730,89410293100
2018-05-02,FRT,37130,36790,37130,37130,37130,657340,24407034200
2018-05-03,FRT,37020,34540,34540,34700,34700,261780,9083766000
2018-05-04,FRT,34030,32490,32490,32930,32930,57020,1877668600
2018-05-07,FRT,34210,30980,34210,33590,33590,67180,2256576200
2018-05-08,FRT,34260,32930,34260,33150,33150,59090,1958833500
2018-05-09,FRT,33920,32930,33150,33680,33680,96890,3263255200
2018-05-10,FRT,34210,33700,34030,34210,34210,89910,3075821100
2018-05-11,FRT,34580,33830,34480,33830,33830,23700,801771000
2018-05-14,FRT,35250,33260,33830,33260,33260,40720,1354347200
2018-05-15,FRT,35340,33370,34260,34700,34700,82190,2851993000
2018-05-16,FRT,35360,34700,35360,34700,34700,113000,3921100000
2018-05-17,FRT,35360,34920,35360,35250,35250,40650,1432912500
2018-05-18,FRT,35360,34960,35250,35250,35250,35230,1241857500
2018-05-21,FRT,35340,34480,35340,34500,34500,58530,2019285000
2018-05-22,FRT,36020,34500,35360,34500,34500,188830,6514635000
2018-05-23,FRT,35360,34140,34140,34700,34700,148490,5152603000
2018-05-24,FRT,37060,34880,37060,35110,35110,186210,6537833100
2018-05-25,FRT,35300,35110,35110,35110,35110,185010,6495701100
2018-05-28,FRT,35110,33940,35110,34250,34250,31840,1090520000
2018-05-29,FRT,34510,32630,34510,34130,34130,48230,1646089900
2018-05-30,FRT,34130,32630,34130,32630,32630,89010,2904396300
2018-05-31,FRT,33940,32630,32630,33910,33910,30530,1035272300
2018-06-01,FRT,33910,33570,33910,33870,33870,37140,1257931800
2018-06-04,FRT,33870,33200,33870,33380,33380,36140,1206353200
2018-06-05,FRT,33760,33380,33380,33420,33420,41780,1396287600
2018-06-06,FRT,33500,33380,33420,33500,33500,14560,487760000
2018-06-07,FRT,34130,33500,33760,33760,33760,120650,4073144000
2018-06-08,FRT,33760,33380,33760,33720,33720,31310,1055773200
2018-06-11,FRT,33760,33680,33760,33760,33760,43460,1467209600
2018-06-12,FRT,33800,33010,33800,33380,33380,31120,1038785600
2018-06-13,FRT,34020,33200,33200,33760,33760,92830,3133940800
2018-06-14,FRT,34130,32630,34130,32630,32630,18400,600392000
2018-06-15,FRT,33380,32670,33380,32670,32670,1690,55212300
2018-06-18,FRT,32670,30800,32560,32670,32670,10520,343688400
2018-06-19,FRT,32259,30420,32259,30420,30420,59070,1796909400
2018-06-20,FRT,30950,28320,28320,30950,30950,44480,1376656000
2018-06-21,FRT,31320,29970,31320,30010,30010,65370,1961753700
2018-06-22,FRT,30380,27940,27940,29630,29630,20150,597044500
2018-06-25,FRT,30300,29070,29260,29700,29700,51350,1525095000
2018-06-26,FRT,29970,28130,29970,29630,29630,27380,811269400
2018-06-27,FRT,30380,29260,29260,30190,30190,88550,2673324500
2018-06-28,FRT,31140,30010,30190,30190,30190,109760,3313654400
2018-06-29,FRT,31140,29820,30190,30380,30380,54370,1651760600
2018-07-02,FRT,30570,28500,30570,29260,29260,10350,302841000
2018-07-03,FRT,30010,29070,30010,29260,29260,16480,482204800
2018-07-04,FRT,29260,27230,27230,29260,29260,23410,684976600
2018-07-05,FRT,28890,27760,28130,27760,27760,680,18876800
2018-07-06,FRT,27010,26260,27010,27010,27010,7600,205276000
2018-07-09,FRT,27380,25170,25170,25880,25880,1500,38820000
2018-07-10,FRT,26630,26560,26630,26630,26630,62420,1662244600
2018-07-11,FRT,27380,26630,26820,27380,27380,44430,1216493400
2018-07-12,FRT,27680,27010,27010,27380,27380,21480,588122400
2018-07-13,FRT,29260,27380,27760,29260,29260,13610,398228600
2018-07-16,FRT,29300,28130,29300,29260,29260,940,27504400
2018-07-17,FRT,28130,28130,28130,28130,28130,750,21097500
2018-07-18,FRT,28890,26300,26300,28890,28890,7960,229964400
2018-07-19,FRT,29560,27010,28890,27010,27010,23540,635815400
2018-07-20,FRT,27760,27190,27190,27760,27760,10370,287871200
2018-07-23,FRT,28130,27760,27760,27760,27760,14610,405573600
2018-07-24,FRT,27580,27310,27310,27580,27580,4080,112526400
2018-07-25,FRT,27760,27580,27580,27580,27580,5600,154448000
2018-07-26,FRT,27760,27380,27760,27760,27760,9830,272880800
2018-07-27,FRT,29260,26260,26260,27720,27720,25420,704642400
2018-07-30,FRT,29260,27720,27720,28130,28130,25240,710001200
2018-07-31,FRT,28130,26300,26300,28060,28060,15950,447557000
2018-08-01,FRT,28060,27010,27380,27380,27380,2430,66533400
2018-08-02,FRT,27760,27010,27760,27010,27010,1420,38354200
2018-08-03,FRT,27340,26560,27340,26560,26560,5000,132800000
2018-08-06,FRT,26630,24790,26330,26630,26630,37050,986641500
2018-08-07,FRT,27680,25510,25880,26630,26630,23730,631929900
2018-08-08,FRT,27010,25510,25510,27010,27010,7530,203385300
2018-08-09,FRT,27010,26860,26860,27010,27010,15530,419465300
2018-08-10,FRT,27010,26630,26630,27010,27010,860,23228600
2018-08-13,FRT,27160,27010,27010,27050,27050,8960,242368000
2018-08-14,FRT,27080,27010,27010,27050,27050,4290,116044500
