Date,code,high,low,open,close,adjust,volume_match,value_match
2016-11-16,PC1,9610,9230,9610,9570,9570,862130,8250584100
2016-11-17,PC1,10230,9750,9790,10230,10230,873160,8932426800
2016-11-18,PC1,10950,10880,10950,10910,10910,1068000,11651880000
2016-11-21,PC1,10900,10160,10900,10160,10160,607680,6174028800
2016-11-22,PC1,10260,9590,9790,9680,9680,465470,4505749600
2016-11-23,PC1,9680,9010,9570,9010,9010,2309890,20812108900
2016-11-24,PC1,8680,8390,8500,8390,8390,913610,7665187900
2016-11-25,PC1,8230,7810,7970,8230,8230,1011670,8326044100
2016-11-28,PC1,8450,7700,8189,8010,8010,238470,1910144700
2016-11-29,PC1,8280,8010,8010,8029,8029,179150,1438395350
2016-11-30,PC1,8150,8010,8010,8119,8119,325960,2646469240
2016-12-01,PC1,8410,8100,8100,8280,8280,255910,2118934800
2016-12-02,PC1,8370,8210,8280,8230,8230,279530,2300531900
2016-12-05,PC1,8250,8100,8230,8150,8150,386860,3152909000
2016-12-06,PC1,8189,8029,8100,8189,8189,275940,2259672660
2016-12-07,PC1,8280,8050,8050,8230,8230,204120,1679907600
2016-12-08,PC1,8330,8150,8250,8150,8150,83490,680443500
2016-12-09,PC1,8230,8100,8150,8150,8150,149510,1218506500
2016-12-12,PC1,8119,8050,8080,8080,8080,328030,2650482400
2016-12-13,PC1,8150,8050,8050,8090,8090,227040,1836753600
2016-12-14,PC1,8500,8090,8100,8370,8370,289320,2421608400
2016-12-15,PC1,8430,8230,8430,8340,8340,121460,1012976400
2016-12-16,PC1,8340,8189,8340,8230,8230,273060,2247283800
2016-12-19,PC1,8310,8180,8310,8240,8240,366210,3017570400
2016-12-20,PC1,8330,8220,8330,8230,8230,178430,1468478900
2016-12-21,PC1,8280,8210,8230,8220,8220,127890,1051255800
2016-12-22,PC1,8240,8200,8210,8220,8220,214740,1765162800
2016-12-23,PC1,8230,8119,8200,8220,8220,185720,1526618400
2016-12-26,PC1,8220,8140,8220,8210,8210,166100,1363681000
2016-12-27,PC1,8210,8150,8150,8210,8210,132930,1091355300
