features,feature_count,train_rel_score,val_rel_score,test_rel_score,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_abs_loss,val_abs_loss,test_abs_loss
"volatility_20,vwap_gap",2,-0.02203717210786027,0.05541629778889379,0.05574535911913059,0.00045272480929270387,0.00025647407164797187,0.0004952712333761156,0.014462070539593697,0.011359531432390213,0.01573251374065876,0.02802144882443827,0.01940260910487268,0.026383605087175965
volatility_20,1,-0.022037075297665076,0.0554162090927377,0.040111282568214945,0.00045272480929270387,0.00025647407164797187,0.0004932031151838601,0.014462070539593697,0.011359531432390213,0.015753138810396194,0.02802144617016893,0.01940261092677247,0.026851557608461002
"high_close_gap,volatility_5",2,-0.005416209368020564,0.05444434313655766,-0.010301038923699934,0.0004501023795455694,0.00026358143077231944,0.0004937706398777664,0.014471553266048431,0.011382768861949444,0.01583479344844818,0.027493016375228767,0.0194225739382091,0.028261772490805012
"volatility_10,volatility_ratio",2,-0.00652441578002505,0.05407230760579562,-0.021357714360802138,0.0004481840878725052,0.0002666150394361466,0.0005005062557756901,0.014515753835439682,0.011614013463258743,0.016096776351332664,0.027596131703467114,0.019430215886677617,0.028571067674783988
"atr_gap,rolling_min_20_gap",2,0.005390593180628067,0.05306914600439172,0.004449110308363369,0.000453964457847178,0.00025941143394447863,0.00048679180326871574,0.014470003545284271,0.011352726258337498,0.01547179650515318,0.027258606441319,0.0194508217391558,0.027849157492164517
"atr_14,rolling_min_20_gap",2,-0.0007876819287142567,0.05131188741702264,-0.0346710482483068,0.0004506678378675133,0.00026166695170104504,0.0005012295441702008,0.014432932250201702,0.011497188359498978,0.015504186972975731,0.027427930367412076,0.019486917430185713,0.028943489753874018
"volatility_20,obv_change",2,-0.03189290206909612,0.049509947220062855,0.03482667410748408,0.000448447884991765,0.00025589976576156914,0.0004940169164910913,0.014340462163090706,0.011348770931363106,0.015772344544529915,0.028291665838332855,0.019523930922150615,0.026999387211981224
"volatility_20,volatility_ratio",2,-0.03571771725962236,0.045569602208678006,0.008448256973231594,0.0004470983403734863,0.0002647876681294292,0.0005012374604120851,0.014491386711597443,0.011583054438233376,0.01610501855611801,0.028396531753242017,0.01960486919560936,0.027737286902265616
"atr_gap,volatility_20",2,-0.02175021724207782,0.04308416985804664,0.024036384886263917,0.00044816776062361896,0.00026291602989658713,0.0004989032750017941,0.014445817098021507,0.01150706596672535,0.015810642391443253,0.028013581311097376,0.019655922238598585,0.027301230610464695
"volatility_ratio,rolling_max_20_gap",2,-0.016216841272572058,0.04280721327695203,-0.02200763428673347,0.00045033133937977254,0.0002586949267424643,0.0004914632881991565,0.014418213628232479,0.01121218129992485,0.015851447358727455,0.02786187135789078,0.01966161117888987,0.028589248284697527
"volatility_5,rolling_max_20_gap",2,-0.014888141456878667,0.041293379022942944,-0.02076468012824395,0.0004499054339248687,0.0002601549495011568,0.0004904915695078671,0.014428353868424892,0.011299621313810349,0.015734467655420303,0.02781437239609659,0.019692706712521615,0.028554478363366796
"range_pct,volatility_20",2,-0.018313806465047433,0.038650314333509184,-0.0026705472676746833,0.00044742567115463316,0.00026307845837436616,0.0004999615484848619,0.014435458928346634,0.0115437600761652,0.01585736870765686,0.027919364377157772,0.019746997667243714,0.028048320053494533
"close_low_gap,atr_gap",2,-0.00045694565232912154,0.03825684840873611,-0.05115558012389765,0.00044624670408666134,0.00025301604182459414,0.0004897816106677055,0.014353901147842407,0.01133632194250822,0.015611713752150536,0.027329644130077213,0.019755079815513464,0.029404621705180028
"volatility_20,ma_50_gap",2,-0.014535483092563029,0.03682009947390086,0.013728613307297022,0.00045229546958580613,0.00025899827596731484,0.0005015389760956168,0.014480143785476685,0.011424202471971512,0.015844998881220818,0.027935580606572332,0.01978459194651805,0.027589576246100478
"momentum_5,true_range",2,-0.011944625704882528,0.036760382590670826,-0.021459611629215614,0.00045013686758466065,0.0002627996145747602,0.0005151804070919752,0.014452174305915833,0.011548047885298729,0.015947554260492325,0.027671535336412492,0.01978581858566031,0.028573918109759688
"atr_gap,volatility_5",2,-0.015746882822094133,0.03507172679616155,0.02105694927946966,0.00045109042548574507,0.0002635038981679827,0.0004929451388306916,0.014458729885518551,0.011498834937810898,0.015681566670536995,0.027747321815695614,0.019820505112875256,0.027384576195618134
"momentum_5,volatility_20",2,-0.007195328584026939,0.03433493873753668,0.006494647080453331,0.00044640430132858455,0.0002595109981484711,0.0004929485148750246,0.014391320757567883,0.011435827240347862,0.015721265226602554,0.027614526287652562,0.019835639410302974,0.027791936433641237
"volatility_5,volatility_ratio",2,-0.027565812763776565,0.03402726197357864,0.035543827157902386,0.00044896756298840046,0.0002667150693014264,0.0004894067533314228,0.014558353461325169,0.011676054447889328,0.015817707404494286,0.028173028948367575,0.019841959371115082,0.026979325848515142
"atr_14,atr_gap",2,-0.0209516081626564,0.03377003802021661,-0.04304963984314436,0.0004476678150240332,0.0002706484228838235,0.0005078274989500642,0.014362326823174953,0.011777983047068119,0.01563967950642109,0.027889500139281154,0.019847242985269985,0.029177869250997895
"atr_gap,volatility_ratio",2,-0.015660246129322708,0.03230462067414075,-0.004079457549807097,0.0004532536258921027,0.00026269705267623067,0.0004968365537934005,0.014491556212306023,0.01147113461047411,0.015844197943806648,0.02784661104960833,0.019877343991538517,0.028087732367566787
"true_range,ma_50_gap",2,0.0042959139909513055,0.03213851374350618,-0.028784055766248207,0.00045434938510879874,0.0002636280551087111,0.0005238911253400147,0.014481695368885994,0.011571747250854969,0.016051465645432472,0.027417051664087935,0.019880755979102105,0.028778809291543438
"ma_5_gap,ma_10_gap",2,0.0012300460689830262,0.03166178054750579,-0.0040613798210829,0.00045059004332870245,0.00025745833409018815,0.0005093485815450549,0.014388985000550747,0.011248785071074963,0.015889784321188927,0.02726122861495243,0.01989054851292167,0.028087226668139915
atr_gap,1,-0.006007136966611926,0.031571596676350455,0.019381876884240534,0.00045694856089539826,0.00025941815692931414,0.0004879824409727007,0.014465765096247196,0.011356499046087265,0.015433049760758877,0.027481259603518993,0.01989240097173024,0.027431434026220808
"atr_gap,vwap_gap",2,-0.00600703681857695,0.03157158916693137,0.03699392294725834,0.00045694856089539826,0.00025941815692931414,0.00048814606270752847,0.01446576789021492,0.011356497183442116,0.015352529473602772,0.02748125686775893,0.019892401125980542,0.02690754266222939
"intraday_return,volatility_ratio",2,-0.010122999556589019,0.031406207957880294,-0.037512259150639826,0.00044731629895977676,0.00025849693338386714,0.0004900413914583623,0.014459028840065002,0.011307957582175732,0.015779869630932808,0.02769479497510475,0.019895798206562176,0.02902296869433485
"body_pct,volatility_ratio",2,-0.010122999556589019,0.031406207957880294,-0.037512259150639826,0.00044731629895977676,0.00025849693338386714,0.0004900413914583623,0.014459028840065002,0.011307957582175732,0.015779869630932808,0.02769479497510475,0.019895798206562176,0.02902296869433485
"volatility_ratio,ma_50_gap",2,-0.01819700020673176,0.03044107320399214,-0.00866868141410193,0.00045621703611686826,0.0002632836112752557,0.0004994188202545047,0.014532952569425106,0.011351215653121471,0.01586749404668808,0.02803640172933229,0.019915622952976268,0.02821610954997595
"return_3,volatility_ratio",2,-0.008364263815600959,0.03042043136981576,-0.02875311688895632,0.00045182410394772887,0.0002640604507178068,0.0004968233406543732,0.014444250613451004,0.01137374248355627,0.015839770436286926,0.027646575277321974,0.019916046955040664,0.028777943819295607
"atr_gap,volatility_10",2,-0.01636657755451898,0.030271865450073543,-0.0027735077238146832,0.000450722873210907,0.00026009284192696214,0.0004982937243767083,0.014445813372731209,0.011431548744440079,0.015726886689662933,0.027764250116888434,0.019919098634272814,0.028051200229674576
"true_range,ma_10_gap",2,0.006155351461913483,0.03020152826480682,-0.024983372405650517,0.00044910176075063646,0.00026456214254722,0.0005236820434220135,0.014390403404831886,0.011596647091209888,0.016088156029582024,0.027126793377101444,0.019920543424086647,0.02867249043774791
"close_return,volatility_ratio",2,-0.005025758611312714,0.03016946616294358,-0.030867388919244565,0.00045106958714313805,0.00026307773077860475,0.000494453648570925,0.014419883489608765,0.011342830955982208,0.015774862840771675,0.027555042644962675,0.019921202008845285,0.028837087651481838
"volatility_10,volatility_20",2,-0.036954526628513396,0.029215250670979187,0.010856786884894776,0.0004491934087127447,0.0002559423155616969,0.0005047022132202983,0.014446375891566277,0.011405632831156254,0.015922727063298225,0.028430441665113902,0.019940802463679578,0.027669911613338625
"price_acceleration,atr_14",2,-0.007258013185358125,0.028615330699282238,0.025935933467429395,0.0004435461014509201,0.00027346325805410743,0.0004939305363222957,0.014439167454838753,0.011902776546776295,0.015527935698628426,0.027616244927048686,0.019953125366009773,0.027248093369416894
"volatility_ratio,ma_cross_5_20",2,0.0028745596469387236,0.028288729349409403,-0.004288837489619279,0.0004491408762987703,0.00026344979414716363,0.0004908487317152321,0.01444805134087801,0.01140698604285717,0.01574546843767166,0.027338437642902138,0.01995983405504376,0.02809358948143199
"volatility_20,rolling_max_20_gap",2,-0.003968644568814517,0.028270639725871183,0.004268762707522522,0.00044713920215144753,0.00025625783018767834,0.0004919228958897293,0.014370718970894814,0.011332145892083645,0.01571834646165371,0.02752605948480778,0.019960205632378353,0.027854202466551216
"volatility_ratio,ma_10_gap",2,-0.015321292193644753,0.028111958052034258,-0.012383353314173728,0.0004513435414992273,0.0002632696705404669,0.0004980855737812817,0.014429210685193539,0.011366833001375198,0.015859372913837433,0.027837317864759827,0.019963465098408052,0.02832002235227264
"momentum_5,volatility_ratio",2,0.0013377846315696384,0.027988277213244483,-0.03459764116491226,0.00045057557872496545,0.0002620304876472801,0.00048997433623299,0.014464511536061764,0.0113561125472188,0.01573275215923786,0.02738057178794407,0.019966005615424366,0.02894143629237078
"high_close_gap,volatility_ratio",2,-0.007921307175617232,0.027375148173587438,-0.04184311643271088,0.00044994018389843404,0.00026414458989165723,0.0004951222217641771,0.014503332786262035,0.011410700157284737,0.015956168994307518,0.027634430624311795,0.019978599844034772,0.02914411842939444
